GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
8809         2  102979093  103015230      2       1   84481       7.5408   2.3352e-14
389015       2  103089173  103150433      1       1  417151       5.8842        2e-09
6549         2  103236166  103327809      1       1  417151       6.5437        3e-11
10018        2  111878491  111926022      1       1  457690       8.7573        1e-18
3553         2  113587337  113594356      1       1  346545       5.9978        1e-09
2736         2  121493441  121750229      1       1     898       4.4652        4e-06
81615        2  135213330  135478219      1       1    1398       4.9912        3e-07
130013       2  135595994  135659604      1       1     898       4.8556        6e-07
53353        2  140988996  142889270      3       2    2226       6.4722   4.8302e-11
114793       2  153191684  153506348      1       1    5372       4.5264        3e-06
130132       2  198435524  198540774      1       1  417151       7.4703        4e-14
66037        2  198591603  198651036      1       1  281699       5.4188        3e-08
5334         2  198669426  199014608      1       1  346545       6.6041        2e-11
117583       2  205410516  206484886      1       1     898       4.7534        1e-06
200576       2  209130990  209223475      1       1    8970       4.5264        3e-06
2066         2  212240442  213403879      2       1    2502       6.0775   6.1048e-10
7145         2  218664512  218808796      1       1   20776       4.8556        6e-07
130340       2  224616403  224702319      1       1  417151       5.4188        3e-08
79054        2  234826043  234928166      2       1    6385       4.1848   1.4268e-05
547          2  241653181  241759725      1       1     250       4.3776        6e-06
51078        2  242523820  242576753      1       1  417151       5.6302        9e-09
728294       2  242674030  242708231      2       1  227499       6.1012   5.2625e-10
64090        2  242716240  242743702      2       1  411886        7.032    1.018e-12
6538         3   10857917   10980146      1       1     510       4.5264        3e-06
7068         3   24158644   24536772      1       1    8204       4.2884        9e-06
10491        3   33155450   33189265      1       1  417151       5.9978        1e-09
9730         3   51433298   51534018      1       1  281699       5.8842        2e-09
166336       3   64079526   64253859      1       1     898       4.7534        1e-06
56999        3   64501330   64673676      1       1     889       5.1993        1e-07
25890        3  100468179  100712336      1       1    1287       5.2935        6e-08
64422        3  112251354  112280810      1       1    1287       4.6114        2e-06
6565         3  121613171  121663034      1       1  346545       6.8065        5e-12
286676       3  121706170  121741127      1       1  417151        5.612        1e-08
60678        3  127872302  128127489      2       1  428766       5.1104   1.6072e-07
90288        3  129120164  129147494      1       1     898       4.6114        2e-06
55764        3  129158671  129239350      1       1     898       4.5264        3e-06
64084        3  139654027  140286919      1       1    7397       4.6114        2e-06
253461       3  141043055  141168634      2       1  173528       4.8527    6.091e-07
285195       3  142984063  143567373      2       1     440       4.4552   4.1903e-06
5918         3  158414892  158450642      1       1     898       4.6114        2e-06
100505385    3  158787041  159615155      1       1    5364        5.069        2e-07
29970        3  158991036  159615155      1       1    5364        5.069        2e-07
2122         3  168801287  169381563      1       1  457690       7.0345        1e-12
79718        3  176738542  176915048      1       1  457822       6.6041        2e-11
7066         3  184089773  184097368      1       1     898       4.5264        3e-06
4026         3  187871097  188608460      7       3  203031       9.7589   8.4487e-23
375387       3  196366656  196388875      2       1  266845       5.1053   1.6511e-07
152789       4    6026661    6202318      1       1     259       4.8916        5e-07
57733        4   22694537   22821198      1       1     407       4.7983        8e-07
10891        4   23793644   24474394      1       1     250       4.3145        8e-06
81793        4   38773860   38784611      1       1  116538        8.937        2e-19
7096         4   38797876   38806814      2       1  213699       6.7467   7.5615e-12
10333        4   38825325   38858438      1       1  102453       8.2221        1e-16
22872        4   83739814   83812419      1       1    8970       4.5264        3e-06
83478        4   86068860   86923823      2       1     898       5.6622   7.4721e-09
4790         4  103422486  103538459      1       1  346545       5.8842        2e-09
4126         4  103552643  103682151      1       1  447576       5.4188        3e-08
255743       4  106816588  106892828      1       1  408655       5.7685        4e-09
9348         4  118955500  119179789      1       1     497       4.6114        2e-06
171024       4  119809996  119982402      1       1     877       4.3145        8e-06
84162        4  123073488  123283914      2       1  122470       6.5548   2.7866e-11
132612       4  123300121  123350957      1       1  417151       5.3267        5e-08
3558         4  123372625  123377650      1       1  406621       6.3955        8e-11
2549         4  144257680  144395718      1       1    4836       5.2652        7e-08
23240        4  154387498  154558760      1       1     898       4.4172        5e-06
55714        4  183065112  183724177      1       1     898       5.6302        9e-09
23194        5   15500305   15939905      4       2     705       6.0326   8.0688e-10
23037        5   31639345   32111038      1       1    5364       4.9354        4e-07
5144         5   58264865   59783925      1       1    1205       5.4188        3e-08
1462         5   82767493   82878122      1       1     898       4.2884        9e-06
285600       5   93486556   93954309      1       1     189       4.3439        7e-06
642987       5  109755197  110062507      2       1  411886       6.6048   1.9903e-11
85480        5  110405778  110413722      1       1  417151       6.6041        2e-11
134430       5  110427870  110466200      1       1  417151       5.9978        1e-09
814          5  110559947  110830584      4       2  277186       7.3538   9.6345e-14
9315         5  111065000  111312628      1       1     898       4.6114        2e-06
51397        5  115420727  115628978      1       1    6535       4.4652        4e-06
51735        5  130759614  130970929      1       1     898       4.7534        1e-06
6584         5  131705396  131731306      1       1   26475        5.069        2e-07
3567         5  131877136  131892555      1       1  450910       9.0133        1e-19
10111        5  131892616  131980313      7       2  253534       7.2648   1.8677e-13
11127        5  132028323  132073265      5       1  182077         6.47   4.8995e-11
80762        5  141488324  141534008      1       1  450910       5.9978        1e-09
3702         5  156607907  156682109      1       1  426604       6.0149        9e-10
26999        5  156693091  156822606      1       1  408655        6.254        2e-10
8728         5  156822071  157002831      1       1  450910       6.0339        8e-10
10667        6    5261251    5771816      1       1     250       4.3145        8e-06
9750         6   24804512   24936275      1       1     898       4.7534        1e-06
282890       6   28962562   28973037      1       1  142486        6.254        2e-10
3106         6   31321649   31324989      3       2  173849       7.8871   1.5468e-15
100507436    6   31367561   31383090      1       1  417151       5.4909        2e-08
4277         6   31462054   31478901      2       1  411886       6.5565   2.7534e-11
4049         6   31539876   31542101      2       1  411886       6.3821   8.7347e-11
80736        6   31830969   31846823      1       1  417151       5.4188        3e-08
10919        6   31847536   31865464      1       1  417151       6.7802        6e-12
5089         6   32152510   32157963      1       1    4836       7.8549        2e-15
4855         6   32162620   32191844      1       1    4836       9.8345        4e-23
10665        6   32260475   32339705      6       3  350548       8.1216      2.3e-16
3127         6   32485151   32498006      1       1  341215       10.042        5e-24
3123         6   32546546   32557613      3       2  369678       11.973    2.463e-33
3117         6   32605169   32612152      4       2  329232       12.575   1.4475e-36
3119         6   32627241   32634466      4       2  339116        10.86   8.9412e-28
3118         6   32709156   32714664      1       1  406621       5.8842        2e-09
3113         6   33032346   33048555      2       1  204864       6.5578   2.7308e-11
3115         6   33043703   33057473      1       1  406621       5.4909        2e-08
3710         6   33587951   33664351      1       1  447576       5.3671        4e-08
154467       6   37450696   37467700      1       1     898       4.7534        1e-06
4188         6   41606194   41621984      1       1     250       4.4652        4e-06
114327       6   52284994   52360583      1       1   11181       5.4909        2e-08
167681       6   84222194   84235423      1       1     259       4.7983        8e-07
60468        6   90636247   91006627      7       2  384842       7.6528   9.8356e-15
2045         6   93949738   94129302      1       1     898       4.3439        7e-06
9474         6  106632351  106773695      1       1  417151       6.5006        4e-11
387357       6  128029339  128239776      1       1  406621       5.8842        2e-09
5796         6  128289924  128841870      2       1  381848       6.2202   2.4823e-10
3908         6  129204286  129837711      1       1  406621        5.612        1e-08
84456        6  130339728  130462594      1       1     522       4.2884        9e-06
54806        6  135604670  135818903      1       1  417151       5.8842        2e-09
27115        6  136172834  136516709      1       1     407       4.8556        6e-07
389432       6  147829807  148058677      1       1    7397       4.2884        9e-06
4988         6  154331631  154568001      1       1    5372       4.3145        8e-06
26034        6  154475618  154677900      2       1  211262       5.8514   2.4377e-09
22828        6  155054512  155282708      1       1  281699       5.6302        9e-09
1235         6  167525295  167554168      1       1     259       4.9354        4e-07
155185       7    2719163    2755069      1       1     250       4.3439        7e-06
9678         7   11013495   11209250      1       1    5364       4.8916        5e-07
1607         7   14184674   14943281      1       1     250       4.4172        5e-06
3696         7   20370345   20455382      5       1  410309        6.437   6.0945e-11
221895       7   27870192   28220437      1       1  610118       5.4909        2e-08
9586         7   28338940   28865511      1       1     898       4.6114        2e-06
168667       7   33944523   34195484      2       1    4551       5.4063   3.2179e-08
2737         7   42000547   42277469      1       1    8204       4.4652        4e-06
54103        7   76940068   77045719      1       1  346545       6.5437        3e-11
9723         7   82993222   83278479      1       1    1227       4.4172        5e-06
222256       7  105517251  105676877      2       1   80463       6.0823   5.9223e-10
4289         7  130794855  131181398      1       1    1287       4.4652        4e-06
51631        7  139025105  139108203      1       1     898       4.7534        1e-06
100996928    7  139025878  139108203      1       1     898       4.7534        1e-06
64478        8    2792875    4852328      1       1     898       4.5264        3e-06
286046       8   10753654   11058875      1       1   20776       4.9354        4e-07
6542         8   17354597   17428077      1       1     259       4.9912        3e-07
1015         8   95139394   95229531      1       1     898        5.612        1e-08
169026       8  117962512  118188953      1       1    3106       7.1305        5e-13
4982         8  119935796  119964383      1       1    8204       4.4172        5e-06
10584        8  119964527  120119207      1       1  314633       6.3955        8e-11
169044       8  139600478  139926236      1       1     592       4.2884        9e-06
81858        8  145153536  145159140      1       1  408655        5.612        1e-08
3717         9    4985245    5129948      1       1  346545       5.1993        1e-07
57589        9    5629031    5776557      1       1  417151       5.9978        1e-09
90865        9    6215149    6257983      5       2  270722       7.7017   6.7129e-15
115426       9    6413151    6507054      1       1  142486       8.5996        4e-18
2731         9    6532464    6645692      3       2  322086       7.0844   6.9836e-13
5789         9    8314246   10612723      1       1     898       4.3145        8e-06
54796        9   16409501   16870786      1       1     898       4.7534        1e-06
92949        9   18474079   18910948      1       1     898       4.7534        1e-06
48           9   32384601   32450834      1       1    4279       4.4652        4e-06
7094         9   35697334   35732392      1       1     877       4.3145        8e-06
79670        9   88902648   88969402      1       1     898       4.4172        5e-06
7046         9  101867412  101916474      1       1  408655        6.254        2e-10
10952        9  101984570  101992901      1       1  406621       5.3671        4e-08
255220       9  113065762  113100163      1       1      88       4.3439        7e-06
7185         9  123664671  123691451      1       1  417151        6.254        2e-10
1759         9  130965634  131017528      1       1  417151        5.612        1e-08
29941        9  131464802  131483199      1       1  417151       5.6997        6e-09
84885        9  131483148  131486451      1       1  281699       5.4909        2e-08
9536         9  132500615  132515344      1       1    7397       5.3671        4e-08
1757         9  136528682  136605077      1       1    7397       4.4172        5e-06
3559        10    6052657    6104333      2       1   71692       6.2686   1.8218e-10
2625        10    8087294    8117164      5       2  266502       6.2748   1.7503e-10
8516        10   15557711   15762328      1       1     898       4.7534        1e-06
22921       10   23384427   23410942      1       1     898       4.6114        2e-06
56952       10   25137536   25242680      1       1     898       4.4172        5e-06
283078      10   27961803   28034778      1       1     898       4.6114        2e-06
5592        10   52750911   54058110      1       1   32442       4.8916        5e-07
220965      10   61005889   61122661      1       1     259       4.5264        3e-06
219623      10   63166401   63213208      1       1     898       4.7534        1e-06
29119       10   67672276   69455949      1       1     347       4.3776        6e-06
55315       10   73079010   73123147      1       1     898       4.3439        7e-06
5660        10   73576055   73611082      1       1    1287       5.2407        8e-08
3416        10   94211441   94333852      1       1  610118       5.3671        4e-08
60495       10  100216834  100995632      1       1    1287       5.3267        5e-08
79847       10  104221149  104239546      1       1  346545       5.9978        1e-09
9644        10  105353784  105615195      1       1     898       4.7534        1e-06
161         11     925809    1012245      1       1    8970        5.069        2e-07
143425      11    7273181    7490276      1       1     898       4.6114        2e-06
374378      11   11292421   11643561      1       1     898       4.6114        2e-06
55742       11   12397988   12556903      1       1     898       4.6114        2e-06
89797       11   19372271   20143147      3       2     431       5.3678   3.9846e-08
159963      11   26688566   26743574      1       1     898       4.7534        1e-06
79899       11   36317725   36486754      2       1  212093       5.3282   4.9606e-08
9415        11   61583675   61634826      3       1  296981       6.1761   3.2843e-10
8061        11   65659616   65667997      1       1  408655       5.8842        2e-09
5612        11   76061004   76091880      1       1  406621       5.3267        5e-08
100506127   11   76092307   76125663      2       1  411886       6.7054   1.0043e-11
56946       11   76155967   76263943      2       1  411886       6.4635   5.1154e-11
2615        11   76368568   76381990      2       1  406621        6.693   1.0929e-11
143872      11  100558407  100861656      1       1    8204       4.6114        2e-06
79659       11  102980160  103350591      1       1     898       4.6114        2e-06
7704        11  113930289  114126702      1       1     898        5.069        2e-07
643         11  118754475  118766980      1       1  406621       5.6505        8e-09
6539        12     299243     323740      1       1     898       4.7534        1e-06
2120        12   11802788   12048336      1       1    7397       4.4652        4e-06
6579        12   21417534   21548371      1       1     898       4.3439        7e-06
29951       12   41582250   41968392      1       1     898       5.1993        1e-07
3855        12   52626954   52642709      1       1     898       4.7534        1e-06
3892        12   52642892   52702947      1       1     898       4.7534        1e-06
3887        12   52679697   52685299      1       1     898       4.7534        1e-06
1017        12   56360556   56366573      1       1    4836       6.3613        1e-10
6821        12   56391043   56399309      1       1  281699       9.1443        3e-20
64375       12   56401268   56432219      1       1    4836       7.2556        2e-13
9880        12   57392617   57400297      1       1    7397       4.7534        1e-06
6778        12   57489187   57505196      2       1   86648       6.9324   2.0685e-12
9194        12   59989821   60183636      1       1     259       4.9354        4e-07
338811      12   62102029   62586620      1       1   20776       4.6114        2e-06
10154       12   94542499   94701451      1       1  408655       6.4393        6e-11
2004        12   96588207   96661606      1       1     189       4.3776        6e-06
56899       12   99128569  100378512      1       1     407       5.6302        9e-09
6311        12  111890018  112037480      1       1  346545       7.5081        3e-14
79794       12  117151289  117175868      1       1     898       4.6114        2e-06
4842        12  117645921  117799607      1       1     407       4.9912        3e-07
121665      12  121200313  121342155      2       1  376583       6.6633   1.3384e-11
254050      12  122652266  122688018      1       1  346545       6.3955        8e-11
57605       12  123468027  123635376      1       1  314633       6.5006        4e-11
144423      12  129337985  129469513      1       1     259        4.825        7e-07
121256      12  129556271  130388212      1       1     898       4.3776        6e-06
6445        13   23755060   23899304      1       1    7397       4.3439        7e-06
9201        13   36342789   36705514      1       1     591       4.5264        3e-06
57511       13   40229764   40365802      2       1  417630       5.2864   6.2373e-08
2308        13   41129801   41240734      1       1  346545        6.706        1e-11
160851      13   42614172   42804352      1       1     510       4.7534        1e-06
57105       13   49227847   49283498      1       1     189       4.6114        2e-06
57626       13   70274725   70682625      2       1    5730       4.7234   1.1595e-06
337867      13   99852679  100038753      3       1  322086       5.9241   1.5698e-09
64067       14   33404115   34273382      1       1     898       4.6114        2e-06
9692        14   35591527   35743284      2       1     259        4.666   1.5357e-06
51199       14   51186481   51297839      1       1     898       4.3439        7e-06
5890        14   68286496   69149889      5       2  243491       6.5176    3.572e-11
9766        14   70078310   70181861      1       1    7397       4.3145        8e-06
57578       14   93799565   94174222      1       1    7271       4.5264        3e-06
7187        14  103243816  103377837      1       1  314633       6.5437        3e-11
8924        15   28356183   28567313      1       1     898       7.3963        7e-14
11261       15   41523341   41574085      1       1  406621        5.612        1e-08
6095        15   60780483   61521502      2       1  213335       5.9931   1.0293e-09
4088        15   67358036   67487533     10       5  261811        10.39   1.3789e-25
80125       15   74528630   74628813      1       1     898       4.7534        1e-06
8826        15   90931473   91045475      1       1  346545       7.2556        2e-13
115         16    4012650    4166186      1       1     898       4.6114        2e-06
23274       16   11038345   11276046      8       3  223393       7.5036   3.1041e-14
10368       16   24266874   24373737      1       1     898       4.3439        7e-06
197370      16   27236315   27280113      1       1  408655        6.467        5e-11
3566        16   27325161   27376099      6       2  265587       7.6043   1.4325e-14
50615       16   27413483   27463363      3       2  411487       6.9428   1.9221e-12
23247       16   27561441   27791692      3       1     250       4.4227   4.8746e-06
1540        16   50775961   50835847      1       1  281699       5.8842        2e-09
1071        16   56995835   57017757      1       1     898       4.7534        1e-06
23659       16   68279240   68294965      1       1  417151       5.3671        4e-08
1012        16   82660399   83830215      1       1     877       4.3145        8e-06
8140        16   87863629   87903100      1       1  406621       5.6997        6e-09
161882      16   88520014   88601574      1       1     489       5.3671        4e-08
1801        17    1933431    1947183      1       1     898       4.7534        1e-06
23108       17    2659050    2941035      1       1    3606       4.9912        3e-07
246         17    4534214    4545583      1       1  346545        6.254        2e-10
57125       17   37219556   37308946      1       1  406621       6.5437        3e-11
84961       17   37408897   37558530      3       1  318576       7.4818   3.6648e-14
5469        17   37560538   37607527      1       1  142486        7.561        2e-14
10948       17   37793333   37820454      2       1  275571       8.2402   8.5931e-17
93210       17   37827375   37844310      1       1  406621       6.5437        3e-11
2064        17   37844167   37884915      1       1    8204       11.404        2e-30
22806       17   37913968   38020441      7       4  295009       12.335   2.9525e-35
124626      17   38024417   38034149      1       1  157242       14.933        1e-50
55876       17   38060848   38074903      4       1  190613       7.5796   1.7329e-14
94103       17   38077294   38083884      1       1  406621       5.6302        9e-09
101928947   17   38083156   38095953      2       1    3556       5.2474   7.7126e-08
284110      17   38119226   38134019      4       2  428766       8.6369   2.8891e-18
5709        17   38137021   38154213      4       2  356020       7.3292   1.1573e-13
9862        17   38175350   38210889      2       1  406621       10.548   2.6012e-26
7067        17   38218446   38250120      1       1  406621       6.5437        3e-11
339287      17   38278235   38293047      1       1  417151       6.3613        1e-10
3487        17   38599676   38613982      1       1  417151       5.7685        4e-09
6777        17   40351195   40428478      2       1  304685       6.3115   1.3819e-10
6774        17   40465342   40540586      1       1  417151       5.8168        3e-09
10614       17   43224684   43229468      1       1  406621       5.4188        3e-08
124783      17   43331760   43339479      1       1  417151       6.0339        8e-10
22834       17   47366568   47439835      1       1   30810       6.5006        4e-11
26207       17   65373397   65693379      1       1     898       4.8556        6e-07
54549       17   71330523   71640227      1       1     259       4.6114        2e-06
6904        17   80709938   80901062      1       1     489       5.4188        3e-08
6875        18   23806409   23971649      1       1    6143       4.3145        8e-06
80816       18   31158541   31331159      1       1     898       4.4172        5e-06
11201       18   51795849   51837583      3       1  364980       6.0912   5.6036e-10
147323      18   51851062   51880943      1       1  346545       6.1904        3e-10
23327       18   55711580   56068772      1       1     898       4.6114        2e-06
8792        18   59992520   60054943      1       1  346545       5.6734        7e-09
22904       19    1107633    1174282      1       1  327670       5.4909        2e-08
3643        19    7112266    7294011      1       1    1227       4.3439        7e-06
6261        19   38924340   39078204      1       1     898       4.4172        5e-06
348         19   45409039   45412650      1       1  585812        6.254        2e-10
284371      19   52567719   52599021      1       1     581       5.8842        2e-09
79788       19   53666552   53696619      1       1    4279       4.4652        4e-06
58491       19   57106664   57135550      1       1     877       4.3145        8e-06
25943       20    3229948    3388587      1       1    8204       4.3439        7e-06
8455        20    3451665    3631769      1       1     898       4.7534        1e-06
54498       20    4129426    4168394      1       1     250       4.6114        2e-06
6616        20   10199477   10288068      1       1     898       4.6114        2e-06
55614       20   16252742   16554079      1       1    7397       4.7534        1e-06
11122       20   40701392   41818557      1       1     898       4.6114        2e-06
81031       20   45338279   45364986      1       1     407       4.9912        3e-07
4773        20   50003494   50179370      2       1  346545       5.9465   1.3698e-09
51750       20   62289163   62327606      1       1  341215        5.069        2e-07
10139       20   62329995   62339365      1       1  327670       4.2884        9e-06
140685      20   62375021   62463731      1       1  142486       5.8168        3e-09
3763        21   38996778   39288741      1       1     250       4.2884        9e-06
23786       22   18111621   18213621      1       1     407       5.4909        2e-08
3560        22   37521878   37552414      1       1   26475        5.612        1e-08
7008        22   41763337   41795332      1       1  406621       5.4188        3e-08
29780       22   44395091   44565113      1       1    1398       5.6997        6e-09
