"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Study accession","PubMed ID","First Author",Location
rs1472066-<b>?</b>,"8 x 10-6",,'-,'-,'-,'-,SYNPO2,"IgE levels in asthmatics","serum IgE measurement, asthma",GCST002122,23967269,"Kim JH",4:118942321
rs114633080-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,"AL023283.1, UTRN","Response to mepolizumab in severe asthma","response to mepolizumab, asthma",GCST005115,29229094,"Condreay L",6:145083119
rs10811516-<b>?</b>,"1 x 10-6",,NR,'-,'-,'-,"IFNA14, IFNA22P","Response to mepolizumab in severe asthma","response to mepolizumab, asthma",GCST005115,29229094,"Condreay L",9:21255050
rs1837253-<b>?</b>,"2 x 10-20",,NR,'-,"0.140412 unit decrease",[0.11-0.17],"TSLP, AC010395.1",Asthma,asthma,GCST007562,29785011,"Zhu Z",5:111066174
rs2706362-<b>?</b>,"1 x 10-11",,NR,'-,"0.109751 unit increase",[0.078-0.142],"AC116366.3, RAD50",Asthma,asthma,GCST007562,29785011,"Zhu Z",5:132589495
rs56062135-<b>?</b>,"3 x 10-23",,NR,'-,"0.14842 unit increase",[0.12-0.18],SMAD3,Asthma,asthma,GCST007562,29785011,"Zhu Z",15:67163292
rs72823641-<b>?</b>,"7 x 10-18",,NR,'-,"0.170195 unit decrease",[0.13-0.21],"IL1RL1, IL18R1",Asthma,asthma,GCST007562,29785011,"Zhu Z",2:102319699
rs869402-<b>?</b>,"7 x 10-18",,NR,'-,"0.111541 unit increase",[0.086-0.137],GSDMB,Asthma,asthma,GCST007562,29785011,"Zhu Z",17:39911790
rs9775039-<b>?</b>,"7 x 10-23",,NR,'-,"0.168054 unit increase",[0.13-0.2],"AL162384.1, GTF3AP1",Asthma,asthma,GCST007562,29785011,"Zhu Z",9:6177453
rs1588265-<b>C</b>,"3 x 10-8",,0.29,1.18,'-,[1.08-1.30],PDE4D,Asthma,asthma,GCST000389,19426955,"Himes BE",5:60073967
rs1295686-<b>T</b>,"1 x 10-7",,0.20,1.15,'-,[1.09-1.20],"IL13, TH2LCRR",Asthma,asthma,GCST000804,20860503,"Moffatt MF",5:132660151
rs3771166-<b>G</b>,"3 x 10-9",,0.62,1.15,'-,[1.10-1.20],IL18R1,Asthma,asthma,GCST000804,20860503,"Moffatt MF",2:102369762
rs1342326-<b>C</b>,"9 x 10-10",,0.16,1.2,'-,[1.13-1.28],"GTF3AP1, AL162384.1",Asthma,asthma,GCST000804,20860503,"Moffatt MF",9:6190076
rs3894194-<b>A</b>,"5 x 10-9",,0.45,1.17,'-,[1.11-1.23],GSDMA,Asthma,asthma,GCST000804,20860503,"Moffatt MF",17:39965740
rs2284033-<b>G</b>,"1 x 10-8",,0.56,1.12,'-,[1.08-1.16],IL2RB,Asthma,asthma,GCST000804,20860503,"Moffatt MF",22:37137994
rs744910-<b>G</b>,"4 x 10-9",,0.49,1.12,'-,[1.09-1.16],SMAD3,Asthma,asthma,GCST000804,20860503,"Moffatt MF",15:67154447
rs9273349-<b>C</b>,"7 x 10-14",,0.58,1.18,'-,[1.13-1.24],"HLA-DQA1, HLA-DQB1",Asthma,asthma,GCST000804,20860503,"Moffatt MF",6:32658092
rs2305480-<b>G</b>,"1 x 10-7",,0.55,1.18,'-,[1.11-1.23],GSDMB,Asthma,asthma,GCST000804,20860503,"Moffatt MF",17:39905943
rs2073643-<b>T</b>,"2 x 10-7",,0.45,1.11,'-,[1.06-1.15],SLC22A5,Asthma,asthma,GCST000804,20860503,"Moffatt MF",5:132387596
rs11071559-<b>C</b>,"1 x 10-7",,0.86,1.18,'-,[1.11-1.25],RORA,Asthma,asthma,GCST000804,20860503,"Moffatt MF",15:60777789
rs6503525-<b>C</b>,"5 x 10-7",,0.43,1.33,'-,[NR],AC090844.2,Asthma,asthma,GCST000910,21150878,"Ferreira MA",17:39938921
rs11252394-<b>A</b>,"2 x 10-7","(Additive Model)",0.08,'-,'-,'-,"LINC00702, AC025822.2","Asthma (bronchodilator response)","response to bronchodilator, asthma",GCST001911,23508266,"Duan QL",10:4198678
rs6988229-<b>T</b>,"9 x 10-6","(Recessive Model)",0.20,'-,'-,'-,COL22A1,"Asthma (bronchodilator response)","response to bronchodilator, asthma",GCST001911,23508266,"Duan QL",8:138872266
rs7686660-<b>T</b>,"2 x 10-12",,0.27,1.16,'-,[1.11-1.21],AC104596.1,Asthma,asthma,GCST001183,21804548,"Hirota T",4:143082006
rs3805236-<b>G</b>,"7 x 10-8",,0.25,1.12,'-,[1.08-1.17],GAB1,Asthma,asthma,GCST001183,21804548,"Hirota T",4:143436584
rs1837253-<b>C</b>,"1 x 10-16",,0.35,1.17,'-,[1.13-1.22],"TSLP, AC010395.1",Asthma,asthma,GCST001183,21804548,"Hirota T",5:111066174
rs204993-<b>A</b>,"2 x 10-15",,0.58,1.17,'-,[1.12-1.21],PBX2,Asthma,asthma,GCST001183,21804548,"Hirota T",6:32187804
rs404860-<b>A</b>,"4 x 10-23",,0.50,1.21,'-,[1.16-1.25],NOTCH4,Asthma,asthma,GCST001183,21804548,"Hirota T",6:32216568
rs3129943-<b>T</b>,"3 x 10-15",,0.62,1.17,'-,[1.12-1.21],"TSBP1-AS1, TSBP1",Asthma,asthma,GCST001183,21804548,"Hirota T",6:32370918
rs3117098-<b>G</b>,"5 x 10-12",,0.25,1.16,'-,[1.11-1.21],TSBP1-AS1,Asthma,asthma,GCST001183,21804548,"Hirota T",6:32390736
rs3129890-<b>T</b>,"5 x 10-13",,0.61,1.15,'-,[1.11-1.20],"HLA-DRB9, HLA-DRA",Asthma,asthma,GCST001183,21804548,"Hirota T",6:32446496
rs10508372-<b>C</b>,"2 x 10-15",,0.433,1.16,'-,[1.12-1.21],"AC044784.1, LINC02676",Asthma,asthma,GCST001183,21804548,"Hirota T",10:8930055
rs1701704-<b>G</b>,"2 x 10-13",,0.18,1.19,'-,[1.14-1.25],IKZF4,Asthma,asthma,GCST001183,21804548,"Hirota T",12:56018703
rs2069408-<b>C</b>,"1 x 10-10",,0.23,1.15,'-,[1.10-1.20],"PMEL, CDK2",Asthma,asthma,GCST001183,21804548,"Hirota T",12:55970537
rs7775228-<b>A</b>,"5 x 10-15",,0.63,1.17,'-,[1.12-1.21],"MTCO3P1, HLA-DQB1",Asthma,asthma,GCST001183,21804548,"Hirota T",6:32690302
rs9275698-<b>T</b>,"5 x 10-12",,0.79,1.18,'-,[1.12-1.24],"AL662789.1, HLA-DQB3",Asthma,asthma,GCST001183,21804548,"Hirota T",6:32720196
rs9500927-<b>T</b>,"4 x 10-9",,0.26,1.13,'-,[1.09-1.18],"BRD2, HLA-DOA",Asthma,asthma,GCST001183,21804548,"Hirota T",6:32993584
rs3019885-<b>G</b>,"5 x 10-13",,0.31,1.34,'-,[1.24-1.45],SLC30A8,Asthma,asthma,GCST001172,21814517,"Noguchi E",8:117013406
rs350729-<b>?</b>,"2 x 10-10",,NR,'-,"2.26 unit decrease",[NR],AC010967.1,"Bronchodilator response in asthma","response to bronchodilator, asthma",GCST002796,25562107,"Israel E",2:52756635
rs11123610-<b>?</b>,"4 x 10-7",,'-,'-,"0.367 unit increase",[NR],ALLC,"Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",2:3675436
rs6440972-<b>?</b>,"8 x 10-7",,'-,'-,"0.353 unit increase",[NR],"PLCH1, PABPC1P10","Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",3:155327641
rs1323555-<b>?</b>,"2 x 10-6",,'-,'-,"0.343 unit increase",[NR],CYSLTR2,"Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",13:48676861
rs1930336-<b>?</b>,"3 x 10-6",,'-,'-,"0.346 unit increase",[NR],"HNRNPA1P31, RNU6-61P","Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",13:80488806
rs6601306-<b>?</b>,"4 x 10-6",,'-,'-,"0.338 unit increase",[NR],"AC021242.2, AC022784.1","Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",8:9407201
rs11835157-<b>?</b>,"6 x 10-6",,'-,'-,"0.324 unit increase",[NR],ELK3,"Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",12:96240427
rs2811670-<b>?</b>,"7 x 10-6",,'-,'-,"0.053 unit increase",[NR],"AL080284.1, MAP3K7","Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",6:91246945
rs2434364-<b>?</b>,"7 x 10-6",,'-,'-,"0.326 unit increase",[NR],KIAA0825,"Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",5:94362147
rs4884502-<b>?</b>,"9 x 10-6",,'-,'-,"0.32 unit increase",[NR],"LINC00395, AL359208.1","Response to inhaled corticosteroid treatment in asthma (change in FEV1)","FEV change measurement, response to corticosteroid, asthma",GCST002432,24792382,"Park TJ",13:63636265
rs11666341-<b>A</b>,"1 x 10-9",,0.45,'-,'-,'-,"ZNF841, AC011468.4","Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)","response to bronchodilator, response to corticosteroid, asthma",GCST002291,24280104,"Wu AC",19:52098146
rs12460587-<b>G</b>,"2 x 10-9",,0.33,'-,'-,'-,"ZNF841, ZNF432","Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)","response to bronchodilator, response to corticosteroid, asthma",GCST002291,24280104,"Wu AC",19:52083666
rs2288884-<b>T</b>,"5 x 10-8",,0.34,'-,'-,'-,ZNF614,"Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)","response to bronchodilator, response to corticosteroid, asthma",GCST002291,24280104,"Wu AC",19:52029018
rs6469488-<b>G</b>,"7 x 10-6",,0.07,'-,'-,'-,"AC103993.1, AC046174.1","Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)","response to bronchodilator, response to corticosteroid, asthma",GCST002291,24280104,"Wu AC",8:113873203
rs10411428-<b>T</b>,"1 x 10-9",,0.41,'-,'-,'-,"AC011468.4, ZNF841","Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)","response to bronchodilator, response to corticosteroid, asthma",GCST002291,24280104,"Wu AC",19:52104512
rs2388639-<b>?</b>,"9 x 10-9",,0.19,'-,"0.878 unit increase",[NR],"AC018553.3, AC007343.1","Asthma (corticosteroid response)","response to corticosteroid, asthma",GCST002342,24486069,"Park HW",16:54455881
rs10044254-<b>?</b>,"9 x 10-8",,0.18,'-,"1.19 unit increase",[NR],FBXL7,"Asthma (corticosteroid response)","response to corticosteroid, asthma",GCST002342,24486069,"Park HW",5:15783487
rs7216389-<b>T</b>,"9 x 10-11",,0.52,1.45,'-,[1.17-1.81],GSDMB,Asthma,asthma,GCST000061,17611496,"Moffatt MF",17:39913696
rs6924808-<b>?</b>,"7 x 10-16",,'-,'-,'-,'-,AL589740.1,"Response to inhaled glucocorticoid treatment in asthma (change in FEV1)","FEV change measurement, response to glucocorticoid, asthma",GCST002754,25601762,"Wang Y",6:97910699
rs1353649-<b>?</b>,"6 x 10-11",,'-,'-,'-,'-,"DBX1, HTATIP2","Response to inhaled glucocorticoid treatment in asthma (change in FEV1)","FEV change measurement, response to glucocorticoid, asthma",GCST002754,25601762,"Wang Y",11:20232053
rs115997623-<b>T</b>,"2 x 10-6",,0.011,'-,'-,'-,NDST3,"Lung function (FEV1/FVC) in asthma (dust mite allergen exposure interaction)","allergen exposure measurement, asthma, FEV/FEC ratio",GCST004108,28167095,"Forno E",4:118194762
rs78930606-<b>C</b>,"1 x 10-6",,0.018,'-,'-,'-,"SELENOKP3, CEP85L","Lung function (FEV1/FVC) in asthma (dust mite allergen exposure interaction)","allergen exposure measurement, asthma, FEV/FEC ratio",GCST004108,28167095,"Forno E",6:118757489
rs117902240-<b>C</b>,"7 x 10-9",,0.01,'-,'-,'-,HAS2-AS1,"Lung function (FEV1) in asthma (dust mite allergen exposure interaction)","forced expiratory volume, allergen exposure measurement, asthma",GCST004107,28167095,"Forno E",8:121918402
rs7541272-<b>G</b>,"4 x 10-6",,0.02,'-,'-,'-,VAV3,"Lung function (FEV1) in asthma (dust mite allergen exposure interaction)","forced expiratory volume, allergen exposure measurement, asthma",GCST004107,28167095,"Forno E",1:107668383
rs35312258-<b>G</b>,"4 x 10-6",,0.17,'-,'-,'-,SLC9A9,"Lung function (FEV1) in asthma (dust mite allergen exposure interaction)","forced expiratory volume, allergen exposure measurement, asthma",GCST004107,28167095,"Forno E",3:143474269
rs1404568-<b>G</b>,"2 x 10-6",,0.18,'-,'-,'-,SLC9A9,"Lung function (FEV1) in asthma (dust mite allergen exposure interaction)","forced expiratory volume, allergen exposure measurement, asthma",GCST004107,28167095,"Forno E",3:143491347
rs72716237-<b>A</b>,"1 x 10-6",,0.01,'-,'-,'-,"AL442639.1, AL353753.1","Lung function (FEV1) in asthma (dust mite allergen exposure interaction)","forced expiratory volume, allergen exposure measurement, asthma",GCST004107,28167095,"Forno E",9:26458552
rs9866261-<b>G</b>,"1 x 10-7",,0.125,1.45,'-,[1.26-1.66],ADAMTS9,Asthma,asthma,GCST003176,26620591,"Barreto-Luis A",3:64540891
rs10197862-<b>?</b>,"2 x 10-6",,NR,1.99,'-,[NR],"IL18R1, IL1RL1",Asthma,asthma,GCST003176,26620591,"Barreto-Luis A",2:102350089
rs347412-<b>A</b>,"1 x 10-6","(Baseline FEV1)",0.543,'-,"0.026 unit increase",[NR],DGKH,"Pulmonary function in asthmatics","pulmonary function measurement, forced expiratory volume, asthma",GCST002608,25221879,"Wu K",13:42212544
rs559389-<b>C</b>,"9 x 10-6","(Baseline FEV1)",0.42,'-,"0.023 unit decrease",[NR],"AP000812.3, AP000812.1","Pulmonary function in asthmatics","pulmonary function measurement, forced expiratory volume, asthma",GCST002608,25221879,"Wu K",11:72161733
rs9366309-<b>T</b>,"7 x 10-6","(Baseline FEV1)",0.37,'-,"0.024 unit decrease",[NR],LNC-LBCS,"Pulmonary function in asthmatics","pulmonary function measurement, forced expiratory volume, asthma",GCST002608,25221879,"Wu K",6:19677593
rs6763931-<b>A</b>,"4 x 10-6","(Baseline FEV1)",0.43,'-,"0.024 unit increase",[NR],ZBTB38,"Pulmonary function in asthmatics","pulmonary function measurement, forced expiratory volume, asthma",GCST002608,25221879,"Wu K",3:141383991
rs2304725-<b>C</b>,"3 x 10-6","(Baseline FEV1)",0.29,'-,"0.026 unit increase",[NR],SLC6A11,"Pulmonary function in asthmatics","pulmonary function measurement, forced expiratory volume, asthma",GCST002608,25221879,"Wu K",3:10844235
rs17161791-<b>C</b>,"2 x 10-6","(Rate of change in FEV1)",0.37,'-,"0.002 unit increase",[NR],"AC004852.2, GAPDHP68","Pulmonary function in asthmatics","FEV change measurement, pulmonary function measurement, asthma",GCST002608,25221879,"Wu K",7:9577350
rs7921536-<b>G</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],SH3PXD2A,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:103597080
rs79252495-<b>A</b>,"6 x 10-8",,0.032,4.25,'-,[2.42-7.48],AC009878.2,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:26476869
rs79392787-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"BTF3P14, AC055872.3","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",17:6346734
rs79835348-<b>C</b>,"2 x 10-6",,0.007,7.39,'-,[2.82-19.36],CREB5,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",7:28435636
rs79946301-<b>A</b>,"6 x 10-6",,0.005,7.81,'-,[2.74-22.24],TMEM132D,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:129632604
rs80221072-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],NPAS3,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",14:33326385
rs908084-<b>A</b>,"9 x 10-9",,0.044,3.97,'-,[2.4-6.56],TENM3,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:182622495
rs9356171-<b>?</b>,"7 x 10-6",,0.5466,2.3255813,'-,[1.59-3.33],AL078602.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:163922743
rs936332-<b>G</b>,"1 x 10-6",,0.379,2.27,'-,[1.62-3.2],"KRT7-AS, KRT7","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",12:52246493
rs9367895-<b>G</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"MYLIP, AL021407.2","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",6:16110152
rs9577729-<b>G</b>,"6 x 10-6",,0.01,5.91,'-,[2.48-14.05],"LINC01044, SPACA7","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",13:112366443
rs9589866-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"LINC00430, UBBP5","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",13:87022817
rs9871967-<b>G</b>,"3 x 10-6",,0.002,15.18,'-,[3.36-68.47],IFT122,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:129490335
rs9949526-<b>A</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],"AC068473.1, AC068473.4","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:79614321
rs9963330-<b>A</b>,"2 x 10-6",,0.002,15.23,'-,[3.38-68.72],NEDD4L,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",18:58353277
rs4736655-<b>A</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"KC877373.1, AF186190.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",8:133337863
rs60244812-<b>A</b>,"7 x 10-7",,0.029,4.04,'-,[2.23-7.3],"AL161443.1, AL157703.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",9:7267614
rs74380195-<b>G</b>,"1 x 10-9",,0.05,4.02,'-,[2.49-6.48],"AP001486.1, AP001486.3","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",11:103016500
rs74609360-<b>A</b>,"2 x 10-7",,0.03,4.14,'-,[2.32-7.39],"KLF13, AC012236.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:31248192
rs74874915-<b>A</b>,"1 x 10-6",,0.127,2.55,'-,[1.72-3.76],AC124248.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",15:90844149
rs74935252-<b>A</b>,"1 x 10-6",,0.001,34.03,'-,[3.52-329.29],CMYA5,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",5:79733488
rs74964132-<b>G</b>,"5 x 10-6",,0.007,6.76,'-,[2.62-17.44],TMEM131L,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",4:153557590
rs7534485-<b>G</b>,"8 x 10-6",,0.464,2.2,'-,[1.55-3.13],AL135926.1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:168751383
rs75515191-<b>C</b>,"2 x 10-6",,0.002,15.21,'-,[3.37-68.63],"LINC00635, LINC00636","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",3:107844030
rs7551641-<b>C</b>,"1 x 10-6",,0.001,34.08,'-,[3.52-329.69],"GAPDHP58, HSD3BP1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:119475304
rs10828735-<b>A</b>,"5 x 10-6",,0.007,6.76,'-,[2.62-17.44],PRTFDC1,"Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",10:24951155
rs12143327-<b>A</b>,"5 x 10-8",,0.081,3.14,'-,[2.05-4.83],"LINC01750, AL445426.1","Diisocyanate-induced asthma","response to diisocyanate, asthma",GCST002875,25918132,"Yucesoy B",1:112068273
